Store,Date,Time,Dept,Family,Item_No,SalesQty,Price,SalesValue,Sales_Status,Sales_number
H1,01/01/2009,09,GA,運動飲料,254,3,24,72,N,1
H1,01/01/2009,09,GA,運動飲料,654,3,19,57,P,1
H1,01/01/2009,09,GA,運動飲料,876,5,14,70,P,1
H1,01/01/2009,10,GA,運動飲料,186,5,9,45,P,1
H1,01/01/2009,11,GA,運動飲料,876,5,14,70,P,1
H1,01/01/2009,12,GA,運動飲料,654,1,29,29,P,1
H1,01/01/2009,13,GA,運動飲料,254,1,36,36,N,1
H1,01/01/2009,13,GA,運動飲料,654,1,29,29,P,1
H1,01/01/2009,14,GA,運動飲料,634,30,5,150,P,1
H1,01/01/2009,14,GA,運動飲料,654,6,19,114,P,2
H1,01/01/2009,15,GA,運動飲料,186,60,5,300,P,1
H1,01/01/2009,15,GA,運動飲料,654,2,29,58,P,2
H1,01/01/2009,15,GA,運動飲料,020,10,15,150,P,1
H1,01/01/2009,15,GA,運動飲料,186,5,9,45,P,1
H1,01/01/2009,16,GA,運動飲料,654,5,23,115,P,3
H1,01/01/2009,16,GA,運動飲料,876,10,14,140,P,2
H1,01/01/2009,16,GA,運動飲料,020,5,15,75,P,1
H1,01/01/2009,16,GA,運動飲料,274,1,28,28,N,1
H1,01/01/2009,17,GA,運動飲料,254,4,27,108,N,1
H1,01/01/2009,17,GA,運動飲料,876,5,14,70,P,1
H1,01/01/2009,18,GA,運動飲料,254,1,36,36,N,1
H1,01/01/2009,18,GA,運動飲料,186,30,5,150,P,1
H1,01/01/2009,18,GA,運動飲料,654,4,22,88,P,2
H1,01/01/2009,19,GA,運動飲料,634,30,5,150,P,1
H1,01/01/2009,19,GA,運動飲料,654,4,22,88,P,1
H1,01/01/2009,19,GA,運動飲料,876,5,14,70,P,1
H1,01/01/2009,19,GA,運動飲料,274,1,28,28,N,1
H1,01/01/2009,20,GA,運動飲料,634,30,5,150,P,1
H1,01/01/2009,20,GA,運動飲料,152,8,9,72,P,1
H1,01/01/2009,20,GA,運動飲料,666,5,17,85,N,1
H1,01/01/2009,20,GA,運動飲料,876,5,14,70,P,1
H1,01/01/2009,20,GA,運動飲料,020,5,15,75,P,1
H1,01/01/2009,21,GA,運動飲料,654,2,29,58,P,2
H1,01/01/2009,21,GA,運動飲料,876,5,14,70,P,1
H1,01/01/2009,21,GA,運動飲料,020,5,15,75,P,1
H1,01/01/2009,21,GA,運動飲料,274,1,28,28,N,1
H1,01/01/2009,21,GA,運動飲料,334,30,4,120,P,1
H1,01/01/2009,22,GA,運動飲料,666,5,17,85,N,1
H1,01/01/2009,22,GA,運動飲料,654,4,22,88,P,1
H1,01/01/2009,22,GA,運動飲料,498,30,9,270,N,1
H1,01/01/2009,22,GA,運動飲料,558,8,6,48,N,1
H1,01/01/2009,22,GA,運動飲料,186,5,9,45,P,1
H1,01/01/2009,22,GA,運動飲料,610,5,17,85,N,1
H1,01/02/2009,11,GA,運動飲料,654,1,29,29,P,1
H1,01/02/2009,11,GA,運動飲料,610,5,17,85,N,1
H1,01/02/2009,13,GA,運動飲料,666,10,17,170,N,1
H1,01/02/2009,13,GA,運動飲料,654,1,29,29,P,1
H1,01/02/2009,13,GA,運動飲料,020,5,15,75,P,1
H1,01/02/2009,14,GA,運動飲料,666,5,17,85,N,1
H1,01/02/2009,15,GA,運動飲料,254,1,36,36,N,1
H1,01/02/2009,15,GA,運動飲料,654,4,22,88,P,2
H1,01/02/2009,15,GA,運動飲料,956,8,9,72,N,1
H1,01/02/2009,15,GA,運動飲料,876,5,14,70,P,1
H1,01/02/2009,16,GA,運動飲料,064,60,6,360,N,1
H1,01/02/2009,16,GA,運動飲料,654,1,29,29,P,1
H1,01/02/2009,16,GA,運動飲料,558,8,6,48,N,1
H1,01/02/2009,16,GA,運動飲料,876,5,14,70,P,1
H1,01/02/2009,16,GA,運動飲料,020,5,15,75,P,1
H1,01/02/2009,17,GA,運動飲料,654,1,29,29,P,1
H1,01/02/2009,18,GA,運動飲料,254,3,24,72,N,1
H1,01/02/2009,18,GA,運動飲料,876,5,14,70,P,1
H1,01/02/2009,18,GA,運動飲料,020,5,15,75,P,1
H1,01/02/2009,18,GA,運動飲料,334,30,4,120,P,1
H1,01/02/2009,19,GA,運動飲料,666,5,17,85,N,1
H1,01/02/2009,19,GA,運動飲料,956,30,10,300,N,1
H1,01/02/2009,20,GA,運動飲料,186,30,5,150,P,1
H1,01/02/2009,20,GA,運動飲料,654,1,29,29,P,1
H1,01/02/2009,21,GA,運動飲料,666,5,17,85,N,1
H1,01/02/2009,21,GA,運動飲料,254,3,24,72,N,1
H1,01/02/2009,21,GA,運動飲料,654,2,29,58,P,2
H1,01/02/2009,21,GA,運動飲料,558,8,6,48,N,1
H1,01/02/2009,21,GA,運動飲料,186,5,9,45,P,1
H1,01/02/2009,22,GA,運動飲料,254,8,27,216,N,1
H1,01/03/2009,09,GA,運動飲料,654,1,29,29,P,1
H1,01/03/2009,11,GA,運動飲料,186,30,5,150,P,1
H1,01/03/2009,12,GA,運動飲料,254,1,36,36,N,1
H1,01/03/2009,12,GA,運動飲料,654,6,24,144,P,4
H1,01/03/2009,13,GA,運動飲料,654,4,22,88,P,2
H1,01/03/2009,14,GA,運動飲料,634,30,5,150,P,1
H1,01/03/2009,14,GA,運動飲料,186,30,5,150,P,1
H1,01/03/2009,14,GA,運動飲料,654,10,26,260,P,5
H1,01/03/2009,14,GA,運動飲料,032,30,6,180,N,1
H1,01/03/2009,14,GA,運動飲料,876,10,14,140,P,2
H1,01/03/2009,14,GA,運動飲料,334,30,4,120,P,1
H1,01/03/2009,15,GA,運動飲料,522,5,16,80,N,1
H1,01/03/2009,15,GA,運動飲料,654,1,29,29,P,1
H1,01/03/2009,15,GA,運動飲料,876,5,14,70,P,1
H1,01/03/2009,15,GA,運動飲料,334,38,4,152,P,2
H1,01/03/2009,16,GA,運動飲料,634,30,5,150,P,1
H1,01/03/2009,16,GA,運動飲料,186,30,5,150,P,1
H1,01/03/2009,16,GA,運動飲料,876,5,14,70,P,1
H1,01/03/2009,16,GA,運動飲料,958,8,4,32,N,1
H1,01/03/2009,17,GA,運動飲料,152,8,9,72,P,1
H1,01/03/2009,17,GA,運動飲料,654,5,23,115,P,2
H1,01/03/2009,17,GA,運動飲料,956,30,10,300,N,1
H1,01/03/2009,18,GA,運動飲料,654,3,29,87,P,3
H1,01/03/2009,18,GA,運動飲料,610,5,17,85,N,1
H1,01/03/2009,19,GA,運動飲料,956,8,9,72,N,1
H1,01/03/2009,19,GA,運動飲料,876,10,14,140,P,2
H1,01/03/2009,19,GA,運動飲料,610,5,17,85,N,1
H1,01/03/2009,20,GA,運動飲料,522,10,16,160,N,2
H1,01/03/2009,20,GA,運動飲料,666,15,17,255,N,2
H1,01/03/2009,21,GA,運動飲料,254,7,26,182,N,3
H1,01/03/2009,21,GA,運動飲料,032,30,6,180,N,1
H1,01/03/2009,21,GA,運動飲料,020,5,15,75,P,1
H1,01/03/2009,21,GA,運動飲料,186,5,9,45,P,1
H1,01/03/2009,22,GA,運動飲料,020,5,15,75,P,1
H1,01/03/2009,22,GA,運動飲料,274,1,28,28,N,1
H1,01/03/2009,22,GA,運動飲料,186,15,9,135,P,1
H1,01/03/2009,23,GA,運動飲料,064,30,6,180,N,1
H1,01/04/2009,11,GA,運動飲料,956,8,9,72,N,1
H1,01/04/2009,12,GA,運動飲料,634,30,5,150,P,1
H1,01/04/2009,12,GA,運動飲料,666,10,17,170,N,1
H1,01/04/2009,12,GA,運動飲料,254,3,24,72,N,1
H1,01/04/2009,13,GA,運動飲料,274,1,28,28,N,1
H1,01/04/2009,14,GA,運動飲料,956,30,10,300,N,1
H1,01/04/2009,14,GA,運動飲料,388,5,14,70,N,1
H1,01/04/2009,15,GA,運動飲料,522,5,16,80,N,1
H1,01/04/2009,15,GA,運動飲料,654,1,29,29,P,1
H1,01/04/2009,15,GA,運動飲料,020,5,15,75,P,1
H1,01/04/2009,16,GA,運動飲料,152,8,9,72,P,1
H1,01/04/2009,16,GA,運動飲料,654,12,22,264,P,2
H1,01/04/2009,16,GA,運動飲料,610,5,17,85,N,1
H1,01/04/2009,17,GA,運動飲料,654,6,24,144,P,4
H1,01/04/2009,18,GA,運動飲料,152,8,9,72,P,1
H1,01/04/2009,18,GA,運動飲料,654,1,29,29,P,1
H1,01/04/2009,18,GA,運動飲料,558,8,6,48,N,1
H1,01/04/2009,18,GA,運動飲料,610,5,17,85,N,1
H1,01/04/2009,19,GA,運動飲料,634,30,5,150,P,1
H1,01/04/2009,19,GA,運動飲料,152,8,9,72,P,1
H1,01/04/2009,19,GA,運動飲料,186,30,5,150,P,1
H1,01/04/2009,19,GA,運動飲料,654,4,22,88,P,2
H1,01/04/2009,20,GA,運動飲料,956,8,9,72,N,1
H1,01/04/2009,21,GA,運動飲料,610,5,17,85,N,1
H1,01/04/2009,22,GA,運動飲料,654,1,29,29,P,1
H1,01/05/2009,12,GA,運動飲料,654,1,29,29,P,1
H1,01/05/2009,13,GA,運動飲料,666,5,17,85,N,1
H1,01/05/2009,14,GA,運動飲料,634,30,5,150,P,1
H1,01/05/2009,14,GA,運動飲料,654,1,29,29,P,1
H1,01/05/2009,14,GA,運動飲料,186,5,9,45,P,1
H1,01/05/2009,15,GA,運動飲料,152,8,9,72,P,1
H1,01/05/2009,17,GA,運動飲料,654,1,29,29,P,1
H1,01/05/2009,18,GA,運動飲料,634,30,5,150,P,1
H1,01/05/2009,18,GA,運動飲料,654,8,22,176,P,1
H1,01/05/2009,18,GA,運動飲料,876,5,14,70,P,1
H1,01/05/2009,19,GA,運動飲料,274,3,17,51,N,1
H1,01/05/2009,20,GA,運動飲料,654,3,19,57,P,1
H1,01/05/2009,21,GA,運動飲料,876,10,14,140,P,1
H1,01/05/2009,22,GA,運動飲料,610,5,17,85,N,1
H1,01/06/2009,12,GA,運動飲料,654,2,29,58,P,2
H1,01/06/2009,13,GA,運動飲料,654,1,29,29,P,1
H1,01/06/2009,14,GA,運動飲料,876,5,14,70,P,1
H1,01/06/2009,16,GA,運動飲料,186,30,5,150,P,1
H1,01/06/2009,16,GA,運動飲料,186,10,10,100,N,1
H1,01/06/2009,17,GA,運動飲料,610,5,17,85,N,1
H1,01/06/2009,18,GA,運動飲料,186,60,5,300,P,2
H1,01/06/2009,18,GA,運動飲料,610,5,17,85,N,1
H1,01/06/2009,20,GA,運動飲料,610,5,17,85,N,1
H1,01/06/2009,21,GA,運動飲料,654,1,29,29,P,1
H1,01/06/2009,21,GA,運動飲料,876,5,14,70,P,1
H1,01/07/2009,10,GA,運動飲料,020,15,16,240,N,2
H1,01/07/2009,11,GA,運動飲料,186,30,5,150,P,1
H1,01/07/2009,11,GA,運動飲料,654,1,33,33,N,1
H1,01/07/2009,12,GA,運動飲料,020,5,16,80,N,1
